fecha,Departamento,sector,empleos,salarios
2015-01-01,BELLA VISTA,Servicios,382.0,7303.59326171875
2015-02-01,BELLA VISTA,Servicios,409.0,7104.765625
2015-03-01,BELLA VISTA,Servicios,416.0,7409.9287109375
2015-04-01,BELLA VISTA,Servicios,441.0,7354.8388671875
2015-05-01,BELLA VISTA,Servicios,463.0,7530.93017578125
2015-06-01,BELLA VISTA,Servicios,476.0,11311.9560546875
2015-07-01,BELLA VISTA,Servicios,475.0,8232.9482421875
2015-08-01,BELLA VISTA,Servicios,490.0,8243.486328125
2015-09-01,BELLA VISTA,Servicios,483.0,8281.5439453125
2015-10-01,BELLA VISTA,Servicios,490.0,7990.939453125
2015-11-01,BELLA VISTA,Servicios,488.0,8669.45703125
2015-12-01,BELLA VISTA,Servicios,465.0,13509.78125
2016-01-01,BELLA VISTA,Servicios,431.0,9399.830078125
2016-02-01,BELLA VISTA,Servicios,439.0,9134.2333984375
2016-03-01,BELLA VISTA,Servicios,444.0,9651.2666015625
2016-04-01,BELLA VISTA,Servicios,446.0,9763.375
2016-05-01,BELLA VISTA,Servicios,439.0,10391.3291015625
2016-06-01,BELLA VISTA,Servicios,451.0,14594.314453125
2016-07-01,BELLA VISTA,Servicios,440.0,10556.828125
2016-08-01,BELLA VISTA,Servicios,444.0,10740.0263671875
2016-09-01,BELLA VISTA,Servicios,442.0,10897.6279296875
2016-10-01,BELLA VISTA,Servicios,442.0,11386.0263671875
2016-11-01,BELLA VISTA,Servicios,446.0,11809.8662109375
2016-12-01,BELLA VISTA,Servicios,455.0,18811.572265625
2017-01-01,BELLA VISTA,Servicios,480.0,12430.2958984375
2017-02-01,BELLA VISTA,Servicios,482.0,12390.2001953125
2017-03-01,BELLA VISTA,Servicios,494.0,12590.4296875
2017-04-01,BELLA VISTA,Servicios,507.0,12243.2978515625
2017-05-01,BELLA VISTA,Servicios,501.0,12885.2333984375
2017-06-01,BELLA VISTA,Servicios,515.0,18453.888671875
2017-07-01,BELLA VISTA,Servicios,516.0,13462.5361328125
2017-08-01,BELLA VISTA,Servicios,525.0,13390.2021484375
2017-09-01,BELLA VISTA,Servicios,509.0,13822.6513671875
2017-10-01,BELLA VISTA,Servicios,516.0,14089.8955078125
2017-11-01,BELLA VISTA,Servicios,521.0,14590.162109375
2017-12-01,BELLA VISTA,Servicios,536.0,22555.634765625
2018-01-01,BELLA VISTA,Servicios,547.0,15515.55078125
2018-02-01,BELLA VISTA,Servicios,560.0,14846.7587890625
2018-03-01,BELLA VISTA,Servicios,563.0,15131.4892578125
2018-04-01,BELLA VISTA,Servicios,558.0,15990.0029296875
